locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHGHJBNO_00742	CDS	918	whiA		COG1481	putative cell division protein WhiA
EHGHJBNO_00743	CDS	696				hypothetical protein
EHGHJBNO_00744	CDS	1230	arcA	3.5.3.6	COG2235	Arginine deiminase
EHGHJBNO_00745	CDS	441				hypothetical protein
EHGHJBNO_00746	CDS	1014	arcB	2.1.3.3		Ornithine carbamoyltransferase, catabolic
EHGHJBNO_00747	CDS	948	arcC1	2.7.2.2		Carbamate kinase 1
EHGHJBNO_00748	CDS	1503				hypothetical protein
EHGHJBNO_00749	CDS	1359		3.4.13.-		Putative dipeptidase
EHGHJBNO_00750	CDS	4281				hypothetical protein
EHGHJBNO_00751	CDS	1521				hypothetical protein
EHGHJBNO_00752	CDS	1662	hscC		COG0443	Chaperone protein HscC
EHGHJBNO_00753	CDS	987				hypothetical protein
EHGHJBNO_00754	CDS	474	argR_2		COG1438	Arginine regulator
EHGHJBNO_00755	CDS	1029	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
EHGHJBNO_00756	CDS	708	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
EHGHJBNO_00757	CDS	1083				hypothetical protein
EHGHJBNO_00758	CDS	162				hypothetical protein
EHGHJBNO_00759	CDS	963	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
EHGHJBNO_00760	CDS	717	rluB_1	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
EHGHJBNO_00761	CDS	480	bsaA			Glutathione peroxidase BsaA
EHGHJBNO_00762	CDS	1002	fpuB		COG0609	Petrobactin import system permease protein FpuB
EHGHJBNO_00763	CDS	1026	feuB		COG0609	Iron-uptake system permease protein FeuB
EHGHJBNO_00764	CDS	930	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
EHGHJBNO_00765	CDS	786	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
EHGHJBNO_00766	CDS	1446	murE	6.3.2.7	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
EHGHJBNO_00767	CDS	747	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
EHGHJBNO_00768	CDS	663	comEA		COG1555	ComE operon protein 1
EHGHJBNO_00769	CDS	2238	comEC		COG0658	ComE operon protein 3
EHGHJBNO_00770	CDS	5946				hypothetical protein
EHGHJBNO_00771	CDS	1032	yqeN		COG1466	putative protein YqeN
EHGHJBNO_00772	CDS	606	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
EHGHJBNO_00773	CDS	2025			COG0737	Cell wall protein
EHGHJBNO_00774	CDS	6435				hypothetical protein
EHGHJBNO_00775	tRNA	72				tRNA-Arg(cct)
EHGHJBNO_00776	CDS	474				IS200/IS605 family transposase ISDha13
EHGHJBNO_00777	CDS	1197	eriC		COG0038	Chloride/fluoride channel protein
EHGHJBNO_00778	CDS	279				hypothetical protein
EHGHJBNO_00779	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
EHGHJBNO_00780	CDS	492				Flavodoxin
EHGHJBNO_00781	CDS	945	nrnA	3.1.-.-	COG0618	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
EHGHJBNO_00782	CDS	1029	apbE_1	2.7.1.180	COG1477	FAD:protein FMN transferase
EHGHJBNO_00783	CDS	243	rpmE2		COG0254	50S ribosomal protein L31 type B
EHGHJBNO_00784	CDS	1218	rodA	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase RodA
EHGHJBNO_00785	CDS	540	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
EHGHJBNO_00786	CDS	1953	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
EHGHJBNO_00787	CDS	1725	ezrA		COG4477	Septation ring formation regulator EzrA
EHGHJBNO_00788	CDS	636	serB	3.1.3.3	COG0560	Phosphoserine phosphatase
EHGHJBNO_00789	CDS	651		3.1.3.5	COG0546	5'-nucleotidase
EHGHJBNO_00790	CDS	1128	glxK	2.7.1.31		Glycerate kinase
EHGHJBNO_00791	CDS	231				hypothetical protein
EHGHJBNO_00792	CDS	576				hypothetical protein
EHGHJBNO_00793	CDS	1308	eno	4.2.1.11		Enolase
EHGHJBNO_00794	CDS	648	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
EHGHJBNO_00795	CDS	186				hypothetical protein
EHGHJBNO_00796	CDS	1005	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
EHGHJBNO_00797	CDS	1167				hypothetical protein
EHGHJBNO_00798	CDS	1230				hypothetical protein
EHGHJBNO_00799	CDS	717	aldC	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
EHGHJBNO_00800	CDS	1659	rqcH		COG1293	Rqc2 RqcH
EHGHJBNO_00801	CDS	1002				hypothetical protein
EHGHJBNO_00802	CDS	867				hypothetical protein
EHGHJBNO_00803	CDS	759	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
EHGHJBNO_00804	CDS	486	proX		COG3760	Prolyl-tRNA editing protein ProX
EHGHJBNO_00805	CDS	300				hypothetical protein
EHGHJBNO_00806	CDS	1662	rnj2	3.1.-.-		Ribonuclease J 2
EHGHJBNO_00807	CDS	777	axe1-6A		COG2382	Carbohydrate acetyl esterase/feruloyl esterase
EHGHJBNO_00808	CDS	696				hypothetical protein
EHGHJBNO_00809	CDS	366				hypothetical protein
EHGHJBNO_00810	CDS	1980	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
EHGHJBNO_00811	CDS	465				hypothetical protein
EHGHJBNO_00812	CDS	828				hypothetical protein
EHGHJBNO_00813	CDS	786	gatD	6.3.5.13	COG3442	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
EHGHJBNO_00814	CDS	1344	murT	6.3.5.13	COG0769	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
EHGHJBNO_00815	CDS	855	dacA_1	2.7.7.85	COG1624	Diadenylate cyclase
EHGHJBNO_00816	CDS	705				hypothetical protein
EHGHJBNO_00817	CDS	1350	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
EHGHJBNO_00818	CDS	1545	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
EHGHJBNO_00819	CDS	777	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
EHGHJBNO_00820	CDS	780				hypothetical protein
EHGHJBNO_00821	CDS	1176	sstT		COG3633	Serine/threonine transporter SstT
EHGHJBNO_00822	CDS	1401	pepV	3.4.13.-		Beta-Ala-Xaa dipeptidase
EHGHJBNO_00823	CDS	459				hypothetical protein
EHGHJBNO_00824	CDS	579				hypothetical protein
EHGHJBNO_00825	CDS	789				hypothetical protein
EHGHJBNO_00826	CDS	582	lemA		COG1704	Protein LemA
EHGHJBNO_00827	CDS	1470	yqiK		COG2268	Inner membrane protein YqiK
EHGHJBNO_00828	CDS	309				hypothetical protein
EHGHJBNO_00829	CDS	1077				hypothetical protein
EHGHJBNO_00830	CDS	1374	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
EHGHJBNO_00831	CDS	4104	cas9	3.1.-.-	COG3513	CRISPR-associated endonuclease Cas9
EHGHJBNO_00832	CDS	867	cas1	3.1.-.-		CRISPR-associated endonuclease Cas1
EHGHJBNO_00833	CDS	333	cas2	3.1.-.-		CRISPR-associated endoribonuclease Cas2
EHGHJBNO_00834	CDS	666	csn2			CRISPR-associated protein Csn2
	repeat_region	4584				
EHGHJBNO_00835	CDS	675	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
EHGHJBNO_00836	CDS	1212	deoB	5.4.2.7	COG1015	Phosphopentomutase
EHGHJBNO_00837	CDS	357	arsC	1.20.4.1		Arsenate reductase
EHGHJBNO_00838	CDS	810	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 1
EHGHJBNO_00839	CDS	714	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
EHGHJBNO_00840	CDS	2265	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
EHGHJBNO_00841	CDS	579				hypothetical protein
EHGHJBNO_00842	CDS	1128	hemW		COG0635	Heme chaperone HemW
EHGHJBNO_00843	CDS	741				hypothetical protein
EHGHJBNO_00844	CDS	618				hypothetical protein
EHGHJBNO_00845	CDS	774	yutF	3.1.3.-	COG0647	Acid sugar phosphatase
EHGHJBNO_00846	CDS	630				hypothetical protein
EHGHJBNO_00847	CDS	177	rpsU		COG0828	30S ribosomal protein S21
EHGHJBNO_00848	CDS	1017	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
EHGHJBNO_00849	CDS	366	mscL			Large-conductance mechanosensitive channel
EHGHJBNO_00850	CDS	1791	dnaG	2.7.7.-		DNA primase
EHGHJBNO_00851	CDS	1119	sigA		COG0568	RNA polymerase sigma factor SigA
EHGHJBNO_00852	CDS	324	sufT			Fe-S protein maturation auxiliary factor SufT
EHGHJBNO_00853	CDS	1449	speA	4.1.1.19	COG1982	Arginine decarboxylase
EHGHJBNO_00854	CDS	858	speE	2.5.1.16	COG0421	Polyamine aminopropyltransferase
EHGHJBNO_00855	CDS	1260		1.5.1.43		Carboxynorspermidine synthase
EHGHJBNO_00856	CDS	1128	nspC	4.1.1.96		Carboxynorspermidine/carboxyspermidine decarboxylase
EHGHJBNO_00857	CDS	1104	aguA	3.5.3.12	COG2957	Agmatine deiminase
EHGHJBNO_00858	CDS	876		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
EHGHJBNO_00859	CDS	594				hypothetical protein
EHGHJBNO_00860	tmRNA	345	ssrA			transfer-messenger RNA, SsrA
EHGHJBNO_00861	tRNA	90				tRNA-Ser(gga)
EHGHJBNO_00862	CDS	1002	add	3.5.4.4	COG1816	Adenosine deaminase
EHGHJBNO_00863	CDS	783				hypothetical protein
EHGHJBNO_00864	CDS	708		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
EHGHJBNO_00865	CDS	375				hypothetical protein
EHGHJBNO_00866	CDS	3111	dnaE1	2.7.7.7		DNA polymerase III subunit alpha
EHGHJBNO_00867	CDS	1011	pfkA	2.7.1.11		ATP-dependent 6-phosphofructokinase
EHGHJBNO_00868	CDS	1506	pyk	2.7.1.40	COG0469	Pyruvate kinase
EHGHJBNO_00869	CDS	3984				hypothetical protein
EHGHJBNO_00870	CDS	453				hypothetical protein
EHGHJBNO_00871	CDS	453				hypothetical protein
EHGHJBNO_00872	CDS	453				hypothetical protein
EHGHJBNO_00873	CDS	327				hypothetical protein
EHGHJBNO_00874	CDS	1110	thiO	1.4.3.19		Glycine oxidase
EHGHJBNO_00875	CDS	618	axeA1	3.1.1.72	COG0657	Acetylxylan esterase
EHGHJBNO_00876	CDS	543	spsB_2	3.4.21.89		Signal peptidase IB
EHGHJBNO_00877	CDS	1812	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
EHGHJBNO_00878	CDS	642	yecS_2		COG0765	L-cystine transport system permease protein YecS
EHGHJBNO_00879	CDS	633	glnQ_3		COG1126	Glutamine transport ATP-binding protein GlnQ
EHGHJBNO_00880	CDS	843	fliY		COG0834	L-cystine-binding protein FliY
EHGHJBNO_00881	CDS	1194	fieF			Ferrous-iron efflux pump FieF
EHGHJBNO_00882	CDS	453				hypothetical protein
EHGHJBNO_00883	CDS	759				hypothetical protein
EHGHJBNO_00884	CDS	426				hypothetical protein
EHGHJBNO_00885	CDS	360				hypothetical protein
EHGHJBNO_00886	CDS	855				hypothetical protein
EHGHJBNO_00887	CDS	579				hypothetical protein
EHGHJBNO_00888	CDS	1113				hypothetical protein
EHGHJBNO_00889	CDS	318				hypothetical protein
EHGHJBNO_00890	CDS	351				hypothetical protein
EHGHJBNO_00891	CDS	516				hypothetical protein
EHGHJBNO_00892	CDS	399				hypothetical protein
EHGHJBNO_00893	CDS	1221	pepT	3.4.11.4		Peptidase T
EHGHJBNO_00894	CDS	816	yidA_1	3.1.3.23	COG0561	Sugar phosphatase YidA
EHGHJBNO_00895	CDS	471				hypothetical protein
EHGHJBNO_00896	CDS	258				hypothetical protein
EHGHJBNO_00897	CDS	1254				hypothetical protein
EHGHJBNO_00898	CDS	495				hypothetical protein
EHGHJBNO_00899	CDS	234				hypothetical protein
EHGHJBNO_00900	CDS	1326				hypothetical protein
EHGHJBNO_00901	CDS	645				hypothetical protein
EHGHJBNO_00902	CDS	936	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
EHGHJBNO_00903	CDS	924	ribF			Bifunctional riboflavin kinase/FMN adenylyltransferase
EHGHJBNO_00904	CDS	738				hypothetical protein
EHGHJBNO_00905	CDS	426	spxA_2		COG1393	Regulatory protein Spx
EHGHJBNO_00906	CDS	279				hypothetical protein
EHGHJBNO_00907	CDS	759	suhB	3.1.3.11	COG0483	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase
EHGHJBNO_00908	CDS	1302	rsmF	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
EHGHJBNO_00909	CDS	870	pstS1		COG0226	Phosphate-binding protein PstS 1
EHGHJBNO_00910	CDS	918	pstC		COG0573	Phosphate transport system permease protein PstC
EHGHJBNO_00911	CDS	888	pstA		COG0581	Phosphate transport system permease protein PstA
EHGHJBNO_00912	CDS	804	pstB3_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
EHGHJBNO_00913	CDS	759	pstB3_2	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
EHGHJBNO_00914	CDS	657	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
EHGHJBNO_00915	CDS	408				hypothetical protein
EHGHJBNO_00916	CDS	675	arlR_1		COG0745	Response regulator ArlR
EHGHJBNO_00917	CDS	1380	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
EHGHJBNO_00918	CDS	1230				hypothetical protein
EHGHJBNO_00919	CDS	234	rpsT		COG0268	30S ribosomal protein S20
EHGHJBNO_00920	CDS	921	coaA	2.7.1.33	COG1072	Pantothenate kinase
EHGHJBNO_00921	CDS	582	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
EHGHJBNO_00922	CDS	1278	pdp	2.4.2.2	COG0213	Pyrimidine-nucleoside phosphorylase
EHGHJBNO_00923	CDS	663	deoC1	4.1.2.4		Deoxyribose-phosphate aldolase 1
EHGHJBNO_00924	CDS	390	cdd	3.5.4.5	COG0295	Cytidine deaminase
EHGHJBNO_00925	CDS	1068	tmpC		COG1744	Membrane lipoprotein TmpC
EHGHJBNO_00926	CDS	1536	mglA	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
EHGHJBNO_00927	CDS	1062				hypothetical protein
EHGHJBNO_00928	CDS	954				hypothetical protein
EHGHJBNO_00929	CDS	543	yyaP		COG0262	putative protein YyaP
EHGHJBNO_00930	CDS	984	ldh	1.1.1.27	COG0039	L-lactate dehydrogenase
EHGHJBNO_00931	CDS	2445	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
EHGHJBNO_00932	CDS	750	strA	3.4.22.-	COG3764	Sortase A
EHGHJBNO_00933	CDS	681				hypothetical protein
EHGHJBNO_00934	CDS	693	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
EHGHJBNO_00935	CDS	639	rex		COG2344	Redox-sensing transcriptional repressor Rex
EHGHJBNO_00936	CDS	204				hypothetical protein
EHGHJBNO_00937	CDS	345				hypothetical protein
EHGHJBNO_00938	CDS	1116	iscS_1	2.8.1.7		Cysteine desulfurase IscS
EHGHJBNO_00939	CDS	978	prs2	2.7.6.1		Putative ribose-phosphate pyrophosphokinase 2
EHGHJBNO_00940	CDS	567	yjbK	3.6.1.-	COG4116	Putative triphosphatase YjbK
EHGHJBNO_00941	CDS	672	yjbM	2.7.6.5	COG2357	GTP pyrophosphokinase YjbM
EHGHJBNO_00942	CDS	819	nadK	2.7.1.23	COG0061	NAD kinase
EHGHJBNO_00943	CDS	894				hypothetical protein
EHGHJBNO_00944	CDS	975	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
EHGHJBNO_00945	CDS	1740			COG1132	putative ABC transporter ATP-binding protein
EHGHJBNO_00946	CDS	1743			COG1132	putative ABC transporter ATP-binding protein
EHGHJBNO_00947	CDS	387				hypothetical protein
EHGHJBNO_00948	CDS	465				IS200/IS605 family transposase ISStin10
EHGHJBNO_00949	CDS	1161	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
EHGHJBNO_00950	CDS	801	lexA_2	3.4.21.88		LexA repressor
EHGHJBNO_00951	CDS	471				hypothetical protein
EHGHJBNO_00952	CDS	543				hypothetical protein
EHGHJBNO_00953	CDS	327				hypothetical protein
EHGHJBNO_00954	CDS	1281		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
EHGHJBNO_00955	CDS	1533	yheS_2		COG0488	putative ABC transporter ATP-binding protein YheS
EHGHJBNO_00956	CDS	492				hypothetical protein
EHGHJBNO_00957	CDS	741	artM		COG1126	Arginine transport ATP-binding protein ArtM
EHGHJBNO_00958	CDS	2199	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
EHGHJBNO_00959	CDS	660				hypothetical protein
EHGHJBNO_00960	CDS	1989	uvrB_2		COG0556	UvrABC system protein B
EHGHJBNO_00961	CDS	798				hypothetical protein
EHGHJBNO_00962	CDS	4419	iga	3.4.24.13		Immunoglobulin A1 protease
EHGHJBNO_00963	CDS	504	mshD_1	2.3.1.189		Mycothiol acetyltransferase
EHGHJBNO_00964	CDS	468				hypothetical protein
EHGHJBNO_00965	CDS	870				hypothetical protein
EHGHJBNO_00966	CDS	279	pduA_1		COG4577	Propanediol utilization protein PduA
EHGHJBNO_00967	CDS	996				hypothetical protein
EHGHJBNO_00968	CDS	285				hypothetical protein
EHGHJBNO_00969	CDS	297	pduA_2		COG4577	Propanediol utilization protein PduA
EHGHJBNO_00970	CDS	318				hypothetical protein
EHGHJBNO_00971	CDS	1362	sucD	1.2.1.76	COG1012	Succinate-semialdehyde dehydrogenase (acetylating)
EHGHJBNO_00972	CDS	2547	cutC_2	4.3.99.4	COG1882	Choline trimethylamine-lyase
EHGHJBNO_00973	CDS	987	cutD	1.97.1.-	COG1180	Choline trimethylamine-lyase activating enzyme
EHGHJBNO_00974	CDS	339	eutS		COG4810	Ethanolamine utilization protein EutS
EHGHJBNO_00975	CDS	447				hypothetical protein
EHGHJBNO_00976	CDS	1134	adhB	1.1.1.1		Alcohol dehydrogenase 2
EHGHJBNO_00977	CDS	615				hypothetical protein
EHGHJBNO_00978	CDS	843	ftsA_2			Cell division protein FtsA
EHGHJBNO_00979	CDS	300	ccmL			Carbon dioxide concentrating mechanism protein CcmL
EHGHJBNO_00980	CDS	633	eutQ		COG4766	Ethanolamine utilization protein EutQ
EHGHJBNO_00981	CDS	627				hypothetical protein
EHGHJBNO_00982	CDS	1647	adhE_2		COG1012	Aldehyde-alcohol dehydrogenase
EHGHJBNO_00983	CDS	693	pduL	2.3.1.222	COG4869	Phosphate propanoyltransferase
EHGHJBNO_00984	CDS	273	pduA_3		COG4577	Propanediol utilization protein PduA
EHGHJBNO_00985	CDS	273	pduA_4		COG4577	Propanediol utilization protein PduA
EHGHJBNO_00986	CDS	279	pduA_5		COG4577	Propanediol utilization protein PduA
EHGHJBNO_00987	CDS	3630		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
EHGHJBNO_00988	CDS	201				hypothetical protein
EHGHJBNO_00989	CDS	810	artP_1		COG0834	Arginine-binding extracellular protein ArtP
EHGHJBNO_00990	CDS	801	artP_2		COG0834	Arginine-binding extracellular protein ArtP
EHGHJBNO_00991	CDS	1839	glgB	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
EHGHJBNO_00992	CDS	1446	glgA	2.4.1.21	COG0297	Glycogen synthase
EHGHJBNO_00993	CDS	1116	glgD		COG0448	Glycogen biosynthesis protein GlgD
EHGHJBNO_00994	CDS	1128	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
EHGHJBNO_00995	CDS	912				hypothetical protein
EHGHJBNO_00996	CDS	774	pyrK		COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
EHGHJBNO_00997	CDS	942	pyrDB	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
EHGHJBNO_00998	CDS	696	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
EHGHJBNO_00999	CDS	327	ppa	3.6.1.1		Inorganic pyrophosphatase
EHGHJBNO_01000	CDS	633	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
EHGHJBNO_01001	CDS	927	csbB	2.4.-.-	COG0463	Putative glycosyltransferase CsbB
EHGHJBNO_01002	CDS	654	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
EHGHJBNO_01003	CDS	1269	pyrC	3.5.2.3	COG0044	Dihydroorotase
EHGHJBNO_01004	CDS	2136				hypothetical protein
EHGHJBNO_01005	CDS	675	maf	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
EHGHJBNO_01006	CDS	489				hypothetical protein
EHGHJBNO_01007	CDS	852	rbgA		COG1161	Ribosome biogenesis GTPase A
EHGHJBNO_01008	CDS	774	rnhB	3.1.26.4	COG0164	Ribonuclease HII
EHGHJBNO_01009	CDS	1011				hypothetical protein
EHGHJBNO_01010	CDS	651				hypothetical protein
EHGHJBNO_01011	CDS	447				hypothetical protein
EHGHJBNO_01012	CDS	312	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
EHGHJBNO_01013	CDS	558	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
EHGHJBNO_01014	CDS	843	dprA		COG0758	DNA processing protein DprA
EHGHJBNO_01015	CDS	2094	topA	5.6.2.1		DNA topoisomerase 1
EHGHJBNO_01016	CDS	495	rplJ			50S ribosomal protein L10
EHGHJBNO_01017	CDS	366	rplL		COG0222	50S ribosomal protein L7/L12
EHGHJBNO_01018	CDS	750	gph_2	3.1.3.18		Phosphoglycolate phosphatase
EHGHJBNO_01019	CDS	1335	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
EHGHJBNO_01020	CDS	1005				hypothetical protein
EHGHJBNO_01021	CDS	828	ybbA		COG2819	putative protein YbbA
EHGHJBNO_01022	CDS	747				hypothetical protein
EHGHJBNO_01023	CDS	1167				hypothetical protein
EHGHJBNO_01024	CDS	168				hypothetical protein
EHGHJBNO_01025	CDS	642				hypothetical protein
EHGHJBNO_01026	CDS	444				hypothetical protein
EHGHJBNO_01027	CDS	660	hin		COG1961	DNA-invertase hin
EHGHJBNO_01028	CDS	279				hypothetical protein
EHGHJBNO_01029	CDS	1047				hypothetical protein
EHGHJBNO_01030	CDS	270				hypothetical protein
EHGHJBNO_01031	CDS	213				hypothetical protein
EHGHJBNO_01032	CDS	171				hypothetical protein
EHGHJBNO_01033	CDS	2208				hypothetical protein
EHGHJBNO_01034	CDS	801				hypothetical protein
EHGHJBNO_01035	CDS	168				hypothetical protein
EHGHJBNO_01036	CDS	1695				hypothetical protein
EHGHJBNO_01037	CDS	141				hypothetical protein
EHGHJBNO_01038	CDS	390				hypothetical protein
EHGHJBNO_01039	CDS	753	yxdL_2		COG1136	ABC transporter ATP-binding protein YxdL
EHGHJBNO_01040	CDS	1971	bceB		COG0577	Bacitracin export permease protein BceB
EHGHJBNO_01041	CDS	666	graR_2		COG0745	Response regulator protein GraR
EHGHJBNO_01042	CDS	942	graS_2	2.7.13.3	COG0642	Sensor histidine kinase GraS
EHGHJBNO_01043	CDS	1509	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
EHGHJBNO_01044	CDS	135				hypothetical protein
EHGHJBNO_01045	CDS	1071	xerS		COG0582	Tyrosine recombinase XerS
EHGHJBNO_01046	CDS	522	tmrB			Tunicamycin resistance protein
EHGHJBNO_01047	CDS	741				hypothetical protein
EHGHJBNO_01048	CDS	669				hypothetical protein
EHGHJBNO_01049	CDS	474				IS200/IS605 family transposase ISDha13
EHGHJBNO_01050	CDS	1575	ffh		COG0541	Signal recognition particle protein
EHGHJBNO_01051	CDS	333				hypothetical protein
EHGHJBNO_01052	CDS	699	nagR		COG2188	HTH-type transcriptional repressor NagR
EHGHJBNO_01053	CDS	1551	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
EHGHJBNO_01054	CDS	1050	mcrC		COG4268	Protein McrC
EHGHJBNO_01055	CDS	1698				hypothetical protein
EHGHJBNO_01056	CDS	789				hypothetical protein
EHGHJBNO_01057	CDS	945				hypothetical protein
EHGHJBNO_01058	CDS	354				hypothetical protein
EHGHJBNO_01059	CDS	756				hypothetical protein
EHGHJBNO_01060	CDS	759	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
EHGHJBNO_01061	CDS	4995				hypothetical protein
EHGHJBNO_01062	CDS	600				hypothetical protein
EHGHJBNO_01063	CDS	975				hypothetical protein
EHGHJBNO_01064	CDS	1260	glyA	2.1.2.1		Serine hydroxymethyltransferase
EHGHJBNO_01065	CDS	432				hypothetical protein
EHGHJBNO_01066	CDS	603	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
EHGHJBNO_01067	CDS	834	prmC_2	2.1.1.297	COG2890	Release factor glutamine methyltransferase
EHGHJBNO_01068	CDS	1080	prfA		COG0216	Peptide chain release factor 1
EHGHJBNO_01069	CDS	582	tdk	2.7.1.21		Thymidine kinase
EHGHJBNO_01070	CDS	225				hypothetical protein
EHGHJBNO_01071	CDS	1314				hypothetical protein
EHGHJBNO_01072	CDS	183	xylH	5.3.2.6		2-hydroxymuconate tautomerase
EHGHJBNO_01073	CDS	1833	lepA	3.6.5.-		Elongation factor 4
EHGHJBNO_01074	CDS	414	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
EHGHJBNO_01075	CDS	588	engB		COG0218	putative GTP-binding protein EngB
EHGHJBNO_01076	CDS	1227	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
EHGHJBNO_01077	CDS	174				hypothetical protein
EHGHJBNO_01078	CDS	513	dhfR	1.5.1.3	COG0262	Dihydrofolate reductase
EHGHJBNO_01079	CDS	840	thyA	2.1.1.45	COG0207	Thymidylate synthase
EHGHJBNO_01080	CDS	303				hypothetical protein
EHGHJBNO_01081	CDS	279				hypothetical protein
EHGHJBNO_01082	CDS	960	glcK	2.7.1.2	COG1940	Glucokinase
EHGHJBNO_01083	CDS	336				hypothetical protein
EHGHJBNO_01084	CDS	1869	ettA		COG0488	Energy-dependent translational throttle protein EttA
EHGHJBNO_01085	CDS	1212	cca	2.7.7.72		CCA-adding enzyme
EHGHJBNO_01086	CDS	768	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
EHGHJBNO_01087	CDS	852			COG1307	DegV domain-containing protein
EHGHJBNO_01088	CDS	375				hypothetical protein
EHGHJBNO_01089	CDS	1956	fruA		COG1299	PTS system fructose-specific EIIABC component
EHGHJBNO_01090	CDS	912	lacC_3	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
EHGHJBNO_01091	CDS	786	lacR_2			Lactose phosphotransferase system repressor
EHGHJBNO_01092	CDS	1056	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
EHGHJBNO_01093	CDS	726	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
EHGHJBNO_01094	CDS	519	rimM			Ribosome maturation factor RimM
